Question,Answer
How many years of work experience do you have with Ops?,0
City,
Do you have a valid driver's license?,Yes
Are you comfortable working in a hybrid setting?,Yes
How many years of work experience do you have with Microsoft SQL Server?,0
Company,
ZIP / Postal Code,
Last name,
How many years of work experience do you have with Microsoft Office?,2
Country,
How many years of work experience do you have with Databases?,0
Degree,
How many years of work experience do you have with SQL?,1
How many years of work experience do you have with Business?,0
Major / Field of study,
We must fill this position urgently. Can you start immediately?,No
How many years of work experience do you have with Coding Experience?,1
Mobile phone number, +91 9848385638
How many years of work experience do you have with Google Data Studio?,0
How many years of work experience do you have with Human Resources (HR)?,0
Please submit a resume or LinkedIn profile, -55901630.pdf
How many years of work experience do you have with Tableau?,0
How many years of work experience do you have with Microsoft PowerPoint?,1
How many years of work experience do you have with CATIA?,0
Your title,
Are you legally authorized to work in GB?,Yes
How many years of work experience do you have with Microsoft Excel?,1
State / Province,
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
Street address line 2,
First name,
Street address line 1,
How many years of urn:li:industry:4 experience do you currently have?,0
How many years of work experience do you have with Jira?,0
What is your level of proficiency in dut?,None
How many years of urn:li:industry:135 experience do you currently have?,0
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with Microsoft Power BI?,1
School,
